source,target,relation
"""4:964ea883-2693-4303-b60b-a2ba95416a01:5""","""4:964ea883-2693-4303-b60b-a2ba95416a01:797""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:5""","""4:964ea883-2693-4303-b60b-a2ba95416a01:154""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:5""","""4:964ea883-2693-4303-b60b-a2ba95416a01:947""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:5""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1004""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:7""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1231""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:7""","""4:964ea883-2693-4303-b60b-a2ba95416a01:854""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:7""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1097""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:8""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1200""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1183""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1186""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1044""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1377""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1089""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1298""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:867""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1425""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1076""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1318""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1217""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:68""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1355""","""CAPEC_TO_TECHNIQUE"""
